lat;long;place_id;place_name;place_website;place_rating;review_mean;review_std;checkins;users;place_website_4q;group_id;group_followers_count;world_rank;country_rank;link_numbers;distance_metro;district;rating
55.72127679999999;37.4315571;ChIJa0kgDJNOtUYRkGbrHQMKynE;Городская клиническая больница им. М.Е. Жадкевича;http://gb71.ru/;3.3;0.35294117647058826;0.4778846120374094;16681.0;6134.0;http://www.botkinmoscow.ru;;;1039463.0;76907.0;51.0;1758.791876091799;Россия, Москва, Западный административный округ, Можайский район;
55.827757999999996;37.5143031;ChIJzwFoXdw1tUYRfRlZ6Yq4M7g;СМ-Клиника;http://smclinic.ru/;4.3;0.23728813559322035;0.4254203524749537;5049.0;1752.0;;64709548.0;2407.0;129637.0;7366.0;370.0;2191.2461265815837;Россия, Москва, Северный административный округ, Войковский район;
55.762418000000004;37.77612999999999;ChIJq0e0-rfKSkERNMvz95MwZ-s;Многопрофильная клиника ЦЭЛТ;http://tsentr-endohirurgii-i-litotripsii.obiz.ru/;4.6;;;;;;;;162665.0;9808.0;149.0;1545.0943554453925;Россия, Москва, Восточный административный округ, район Перово;
55.75559229999999;37.541585;ChIJcYIYvNlLtUYRKgMjxXQlCfQ;ГБУЗ ДГКБ №9 им. Г.Н. Сперанского ДЗМ;http://dgkb-9.ru/;4.4;0.0;0.0;612.0;144.0;;;;1314838.0;95863.0;51.0;557.0226328575382;Россия, Москва, Центральный административный округ, Пресненский район;109
55.762577;37.568764;ChIJTRZMei1KtUYRLi9e5ZkRAzQ;Арт - Мед;http://www.art-med.ru/;4.8;0.6363636363636364;0.4810456929208346;1008.0;345.0;http://www.art-med.ru;7451946.0;202.0;1108035.0;143414.0;120.0;873.5780189282088;Россия, Москва, Центральный административный округ, Пресненский район;109
55.751056000000005;37.5922739;ChIJITczs0xKtUYRlSGrF8tlvfk;Институт Красоты на Арбате;http://institut-krasoty.ru/;3.0;;;;;;101394140.0;1172.0;2216430.0;171068.0;56.0;1033.1153109164354;Россия, Москва, Центральный административный округ, район Арбат;
55.791658;37.5671151;ChIJ3aFPCPJJtUYRLFjDx4oDgX4;Клиника Практической Медицины;http://cpmed.ru/;3.0;0.0;0.0;18.0;7.0;;143680556.0;565.0;2916202.0;228507.0;64.0;1005.9754187405691;Россия, Москва, Северный административный округ, район Аэропорт;
55.7740115;37.5961562;ChIJf2UaoT1KtUYRXyOI5TFRVkE;НИИ нейрохирургии им. академика Н. Н. Бурденко;http://www.nsi.ru/;4.4;0.4583333333333333;0.4982608642958916;5196.0;1706.0;http://www.nsi.ru;;;610675.0;49494.0;249.0;370.7777466572478;Россия, Москва, Центральный административный округ, Тверской район;101
55.65501690000001;37.63884660000001;ChIJX-7CXhOzSkERo0-xMbSF6LY;Медико-генетический научный центр;http://www.med-gen.ru/;3.2;0.6;0.4898979485566357;1017.0;454.0;;;;1395167.0;89243.0;201.0;1042.1929827724525;Россия, Москва, Южный административный округ, район Москворечье-Сабурово;90
55.847566;37.35331000000001;ChIJD765bAVHtUYR3Di-ie2GB84;Твой доктор;http://www.superdoktor.ru;3.8;;;;;;49404977.0;7161.0;8656904.0;;30.0;997.7656043211114;Россия, Москва, Северо-Западный административный округ, район Митино;4
55.704361;37.739141;ChIJS6id9gO1SkERgwGjk-ORbPI;Противотуберкулезный диспансер № 2;http://www.mosgorzdrav.ru/;3.0;0.3333333333333333;0.4714045207910317;163.0;101.0;;;;133353.0;7156.0;1627.0;828.3616410027532;Россия, Москва, Юго-Восточный административный округ, район Текстильщики;6
55.81166899999999;37.55634800000001;ChIJ3fq5EdlJtUYRM8BnLuqq8rg;Городская клиническая больница имени С.И. Спасокукоцкого Департамента здравоохранения города Москвы;http://50gkb.ru/index.php?option=com_content&view=article&id=32&Itemid=201;3.8;;;;;;;;1546823.0;79358.0;19.0;2227.6044235382583;Россия, Москва, Северный административный округ, Тимирязевский район;
55.880644499999995;37.463178799999994;ChIJmY6-x0M4tUYRfEaS4G0Q6k4;3 Центральный военный клинический госпиталь имени А.А. Вишневского. Филиал № 2;http://2filial.ru/;4.2;0.42105263157894735;0.4937279747182558;2217.0;683.0;http://52kdc.ru;;;5853155.0;329708.0;5.0;3447.6537122164355;Россия, Москва, Северный административный округ, район Левобережный;79
55.746356000000006;37.6529575;ChIJ4YkdVe5KtUYRTj4akmGhxN4;Центр патологии речи и нейрореабилитации;http://www.cprin.ru/;4.5;0.2;0.4;1245.0;305.0;;88854171.0;99.0;2634985.0;231795.0;44.0;346.3872310313238;Россия, Москва, Центральный административный округ, Таганский район;99
55.716778000000005;37.602154999999996;ChIJwbVcv21LtUYRSxgYoPDuaBI;Клиника Telo’s Beauty (Телос Бьюти);http://www.telosbeauty.ru/;3.0;0.0;0.0;47.0;30.0;;;;1202030.0;98518.0;80.0;666.8791939127414;Россия, Москва, Южный административный округ, Донской район;
55.801462;37.53557099999999;ChIJ5Z-GT8ZJtUYRCtH3BRIo1PU;Центральная поликлиника Литфонда;http://www.lit-clinic.ru/;4.3;0.41;0.4918333050943174;10709.0;2081.0;http://www.lit-clinic.ru;26804437.0;17.0;1902153.0;121596.0;72.0;318.8177322973101;Россия, Москва, Северный административный округ, район Аэропорт;
55.8879755;37.5930799;ChIJi9EmSkc3tUYRIvbiaRvcIeU;Городская клиническая больница им. А.К. Ерамишанцева, Родильный дом;http://gkbe.ru/;4.5;0.35294117647058826;0.4778846120374094;16681.0;6134.0;http://www.botkinmoscow.ru;;;1361369.0;89037.0;10.0;1163.3710493238925;Россия, Москва, Северо-Восточный административный округ, район Бибирево;68
55.7041634;37.8432467;ChIJnRkACPu1SkER1WgURhgXWLs;Medicalclub, Медицинский Центр;http://www.medicalclub.ru/;5.0;0.5333333333333333;0.4988876515698589;3436.0;669.0;http://www.kdpmc.ru;;;2390337.0;170245.0;31.0;1038.8829041616832;Россия, Москва, Юго-Восточный административный округ, район Выхино-Жулебино;40
55.6934274;37.7527562;ChIJ4b-RU6u1SkERIP_GrNrv2X0;Городская клиническая больница №68;http://www.68gkb.ru/;3.3;0.3333333333333333;0.4714045207910317;4959.0;1876.0;;82557378.0;817.0;1176111.0;75467.0;28.0;243.2967353288813;Россия, Москва, Юго-Восточный административный округ, район Текстильщики;6
55.6823302;37.765151;ChIJ1WqwpUu0SkERCQL1Y9eDkzQ;Психиатрическая больница №13;http://www.pb-13.ru/;3.6;0.3333333333333333;0.4714045207910317;2423.0;491.0;http://pb-13.ru;6934738.0;45.0;3790731.0;308919.0;9.0;695.667619088642;Россия, Москва, Юго-Восточный административный округ, район Люблино;
55.7717687;37.579244700000004;ChIJ-2yDACVKtUYRUGs-mK2hktQ;Клинико-диагностический центр МЕДСИ на Белорусской;http://www.medsi.ru/;3.9;0.325503355704698;0.4685626117496772;28214.0;6072.0;http://medsi.ru;;;171754.0;9305.0;297.0;593.0934924930388;Россия, Москва, Центральный административный округ, Пресненский район;109
55.667944999999996;37.5551721;ChIJb4cM99tMtUYRKGmaZWmyxHY;Знакомый доктор;http://www.z-doc.ru/;4.0;;;;;;;;12624148.0;982692.0;4.0;202.76982289884285;Россия, Москва, Юго-Западный административный округ, район Черёмушки;
55.7737586;37.6878491;ChIJP_tWjXw1tUYRAZ8RLrOmTfg;Детский центр диагностики и лечения им. Н.А.Семашко;http://www.cemashko.ru/;3.9;0.2702702702702703;0.4440993709501347;2196.0;1168.0;http://www.cemashko.ru;;;2066774.0;172055.0;26.0;988.3905671240323;Россия, Москва, Центральный административный округ, Басманный район;100
55.714633400000004;37.6286728;ChIJnXzZBD9LtUYRKpGRvgs8-Qg;Городская клиническая больница №4;http://4-городская-больница.рф/contact.html;3.4;0.3278688524590164;0.4694367561729952;5739.0;2206.0;http://xn--4---7cdbfli3bqoygafzt2h5e8b.xn--p1ai;;;14475783.0;;3.0;846.1751098058456;Россия, Москва, Южный административный округ, Даниловский район;
55.773117000000006;37.61845489999999;ChIJ95O-P2tKtUYRqtp4TlmuROI;Медицинский Центр им. Святослава Федорова;http://fedorovmedcenter.ru/;3.3;0.5714285714285714;0.4948716593053935;443.0;242.0;http://fedorovmedcenter.ru;12543250.0;34.0;1081176.0;95010.0;130.0;311.2963066608003;Россия, Москва, Центральный административный округ, Тверской район;101
55.789111;37.60617;ChIJ0UanWgRKtUYR_RVcNjrzrGg;РАМБАМ;http://rimc-rambam.ru/;4.2;0.3;0.458257569495584;2096.0;551.0;http://www.rimc-rambam.ru;;;3233351.0;217566.0;29.0;1184.1753709079326;Россия, Москва, Северо-Восточный административный округ, район Марьина Роща;92
55.87046509999999;37.525924700000004;ChIJ8XW9v4Y3tUYRETmbNPdi04w;Федеральное Бюро медико-социальной Экспертизы;http://www.fbmse.ru/;2.8;;;;;;;;1560702.0;99521.0;133.0;3642.5410801740036;Россия, Москва, Северный административный округ, район Западное Дегунино;
55.67942799999999;37.550227;ChIJxaVyGJ9LtUYRupsLgASQiHc;Клиника доктора Волкова;http://drvolkov.ru/;3.0;0.3333333333333333;0.4714045207910317;291.0;138.0;;;;4068492.0;278695.0;138.0;1414.0505559085982;Россия, Москва, Юго-Западный административный округ, Ломоносовский район, жилой комплекс Вавилово;
55.6496036;37.6553077;ChIJw1vtzwyzSkERF1Mlf-fSy78;РАМН, научный центр психического здоровья, ГУ;http://www.psychiatry.ru/;4.1;0.25;0.4330127018922193;1128.0;412.0;http://www.psychiatry.ru;;;331459.0;28321.0;614.0;908.5233489593373;Россия, Москва, Южный административный округ, район Москворечье-Сабурово;90
55.6586223;37.55496660000001;ChIJHWyIIShNtUYRfqBejd85Ma0;"Центр микрохирургии глаза ОКДЦ ПАО ""Газпром""";http://medgaz.ru/clinic/departments/center/;5.0;0.13333333333333333;0.3399346342395189;579.0;320.0;http://www.medgaz.ru;;;1846905.0;134419.0;51.0;1666.5472590312718;Россия, Москва, Юго-Западный административный округ, район Черёмушки;
55.72113;37.4529279;ChIJLU0xNphOtUYRrGoN8aLqLYA;Альгида;http://www.mc-algyda.ru/;4.1;;;;;;10232671.0;48.0;5229978.0;424811.0;14.0;1107.7935980985753;Россия, Москва, Западный административный округ, район Фили-Давыдково;38
