;place_name;place_website;text;checkins;users
0;Родильный дом №4, филиал №1 ГКБ им. В.В. Виноградова;;[];;
1;Национальный медицинский исследовательский центр профилактической медицины МЗ РФ;https://www.gnicpm.ru;"[['В кабинете 101 институтская столовая, гардероб на -1этаже.', 1429186063], ['Качественно, но дороговато. Хотя, если самое ценное-это здоровье- то сойдет!', 1427143973], ['Я на УЗИ к Жаворонковой, говорят, лучший узист этого мрачного места;)', 1379309891], ['Милое местечко, насколько может быть милым лечебное заведение. Прекрасный вид из окна 420-й палаты. :)', 1378540778]]";67;31
2;МедЦентрСервис;;[];23;13
3;МОБИЛМЕД;https://www.mobil-med.org;"[['У них тут даже Густав Климт висит. Ненастоящий, конечно, но все же ??', 1466687199], ['Ходила раньше в разные медцентры. Именно на таганке помоему самый лучший.Рекомендую перед походом  записываться к ним онлайн или по телефону. Будет скидка 15 проц и в регистратуру без очереди.', 1434731103], ['Очередь на флюжку -45 минут, никакой обработки поверхности, где узбеки и таджики до этого сиськами тёрлись >_< это отвратительно', 1411395809], ['Сотрудники - хамы. Хватают кого попало и втаскивают в кабинет. При попытке сказать ""моя очередь"" просто выталкивают.', 1411395750], ['Самое уебищное место для продления медкнижек. Везде делается не больше 20 минут, здесь больше двух часов.', 1411395666], ['Все путем , ваще без головняка. Так быстро медкнигу нигде не получал. 25 минут обежать кабинеты , 5 мин регистратуры и касса. На 5-й ден книгу привезли на работу.', 1408967172], ['Неадекватные хамские уроды-охранники. Не пускают сопровождать и даже на улице выгоняют, не дают подождать у входа!', 1406102806], ['Быстрее чем здесь мед книженцию еще нигде не делал. По кабинетам пролетаеш за полчаса, через пару дней доставляют на работу.', 1405052456], ['Мгновенно и без проблем сделала медкнижку. Врачей прошла за 20 мин, книжку привезли на работу через 3 дня.', 1402806753], ['Если при выездной медкомиссии не прошли нужного врача-идите на -1 этаж, там где выдают мед книжки. Если продлеваете действующую мк и меняли фамилию, берите подтверждение.', 1401454939], ['Будьте внимательны!!! Анализы принимают только в контейнерах из аптеки!!!', 1395723263], ['На входе администраторы подсказывают куда идти. Врачи принимают быстро. Кровь хорошо взяли. Персонал вежливый. Книжку делают очень быстро.', 1395313992], ['Медкомиссия за 20 минут. Но какой профосмотр, если ни один из врачей тебя руками даже не трогает?.. Смотрят поверхностно, на отвали. Проблемы со здоровьем тут не выявить. Чисто медкнижку продлить', 1392120969], ['Никогда не видела такой длинной очереди на флюрографию', 1390548298], ['Третий раз у них книжку переоформляю. Кровь берут отлично. На посещение уходит 20 мин. Книжку привозят на работу бесплатно.', 1390433687], ['Ужас!!! Гестапо!', 1390286176], ['Кровь берут экспресс- системой,ваккумной пробиркой с разовой иглой. Несколько раз сдавала в мобилмеде кровь, всегда хорошо брали, несмотря на мои плохие вены.', 1389806404], ['Нормальный центр. Врачей обошла за полчаса. Медкнижку получила на 5-й день.', 1387573430], ['Открыто до 20:00, призжаю и мне заявляют: ""мы не можем вас принять, отдел кадров работает до 18:00"". Так какого же простите, у вас стоит расписание до восьми и нет предупреждения о таких вещах? Злость', 1382366151], ['""Касячать"" с анализами, путают пробирки с кровью. Потом требуют через неделю пересдавать кровь.', 1380621701], ['Психо и нарко справки только в будни после14 00. Скотопригонск, быстрый дешовый скотопригонск.', 1379758830], ['Секретная лаборатория', 1377942798], ['Охранники хамло гопстоп!!   Все мегасекретно....', 1377322814], ['Моя компания теперь только с ними сотрудничает. Никого адекватнее и профессиональнее на рынке профосмотров и ЛМК еще не придумали:) Сейчас здесь - все отлично, быстро, четко, врачи очень корректные.', 1374841910], ['Задала вопрос менеджерам, зачем столько охраны. Оказалось, что это не просто охранники, а еще и администраторы. И помогают они посетителям - найти нужный кабинет, пройти все обследования. Нормально!:)', 1374749477], ['Работают одни хамские базарные бабы! Менеджеры- некие мифические существа, ждать которых нужно очень долго.', 1368438323], ['На входе каждый из трех (!!!) охранников спросил зачем я иду! На ступеньках заставили (!) показать направление! А в регистратуре не хотели допускать до осмотра, потому что ""не нравится"" печать!!!!', 1367932863], ['Хамские бугаи на входе! Каждый охранник считает себя неебически важным чуваком.', 1367850887], ['На входе стоят бугаи-администраторы, я уж думал и шмонять будут :) А так комиссия проходит очень быстро', 1364825265], ['Ну ооочень прекрасные мужчины-администраторы...) а один вообще на Гослинга похож.)', 1361864673], ['Тут берут кровь из вены так что иголка выходит с другого конца руки)', 1358259278], ['Учреждение сочло себя важным и невероятно секретным! Никого из сопровождающих не пускают. ""Ждите на улице""!', 1350561906], ['Очень быстро берут все анализы, объясняют, куда потом идти, вежливые охранники! Только вот кровь из вены не особо удачно взяли, все второпях)', 1348393025], ['Работают четко!Профосмотр за 15 мин это надо уметь!люди работают на поток!', 1343812798]]";1148;802
4;Родильный дом №1;;[['Персонал отличный! Все очень внимательные, заботливые и понимающие. Спасибо вам большое за вашу работу!', 1482907998], ['Экскурсия по роддому 2,5 часа. Жарища, сесть почти негде. Ещё бы 15 минут и можно прямо сразу после экскурсии там оставаться? уйти нельзя -вещи закрыты в палате))', 1463581015], ['Приемное отделение выглядит жутковато... сквозняки.', 1410733896], ['Посещения разрешены только к рожающим по контракту, недоступны к бесконтрактным.', 1408354925], ['Передачи в палаты понимают с 10 до 13 и с 16 до 19. Узнавайте заранее номер этажа и палаты. Тетушка выдвигается на этажи по мере заполнения тележки, закладывайте ~полчаса, если ждете и что-то назад.', 1408354764], ['Wifi платный, 100 рублей на месяц, оплата в онлайне.', 1408354577], ['Требования к передачам - см. фото', 1408354337], ['Все могу понять, очереди, нехватку врачей, но отправлять беременных женщин делать копии паспорта и полиса черт знает куда - этого понять не могу :( кто первый раз в КДО, готовьте копии заранее.', 1405324603], ['Тут предлагают работу аистом для пап', 1399885007], ['Хороший роддом. Рожала с Эрженой Сергеевной. Спасибо большое!', 1399022706], ['Прекрассный род.дом!Ни одного нарекания.Очень внимательные и тактичные!Спасибо Багировой Е.А. и ее команде, заранее извините имен не запомнила.Низкий вам поклон! Сын 4830 гр,55 см. 9 баллов по Апгар.', 1394602531], ['Акушерка Надежда, самый светлый и заботливый человек, мы с дочкой Вам благодарны! Хороший роддом, в палате тв был)) думаю через пару лет снова сюда вернусь!!', 1384590208], ['Противоречивое место, а вежливость и внимательность персонала прямо пропорциональна полученной ими суммы... Обнаглевший охранник на КПП, что бы забрать роженицу с ребёнком надо заплатить! Проклятье!', 1382606765], ['Возьмите что-то перекусить, ужин в 18 и потом до завтрака ничего:)', 1373391560], ['Единственное место, где возможны бесплатные совместные роды в Москве', 1372406183], ['Если повезет палата будет с окнами на лес. Очень тихо,  поют птички, зайчики прыгают.', 1364791290], ['2,5 часа в приемном отделении, какая-то очень не русская заведующая с короной на башке и такие же врачи! О Боги! А главные то...идет по коридору не здороваясь и царапает, царапает рогами потолок!!!', 1364620730], ['С таким отношением, родить можно в приемном отделении. Не приезжайте сюда!!!', 1362129492], ['Рожать и поднимать демографию', 1313493962]];1737;869
5;Семейный доктор, Поликлиника № 9;http://www.fdoctor.ru/clinics/michurinski/;"[['Ухудшилось качество обслуживания! Новые доктора молодые с нездоровым пофигизмом. Заключение контракта неэффективно, любой врач назначит анализы не входящие в контракт и разорит вас доп на 8-10 тысяч.', 1445339563], ['Луценко - обманщица!!! 2 раза с разницей в 5 дней распечатывала в регистратуре листок с приемом и они совершенно разные! А итог - развела на 4000 и ребенок с невылеченной ангиной!', 1398880826], ['Стоматолог Елена Коломиец замечательная.', 1393315320], ['Луценко, самый лучший педиатр! Из трех разных, только она смогла поставить диагноз.', 1386941611], ['ЛОР Никулина Татьяна Николаевна. Отличный специалист.', 1386047000], ['нет! на ресепше никогда ни о чем не знают и всегда говорят про врачей в черном свете. Правда в их словах есть- очень высокомерные средничковые доктора и выпадет красный снег если вас вовремя примут.', 1384677795], ['Офтальмолог тоже ушла из клиники(', 1381043526], ['В кулерах нет стаканчиков просто никогда, так что берите с собой, я не знаю.', 1378785578], ['Обращайте внимание на то, кто работает в процедурном. Роза -супер. Новенькая(имя не помню) -лучше не ходить. Кровь из пальца взять не может. Мучает ребенка, а потом пересдавать :(', 1377756003], ['Один за другим увольняются классные специалисты! Чёрт! Я только контракт обновила ((', 1377525645], ['Поликлиника 2 этажа. Лифта нет;)', 1365435978], ['Минус в карму девушкам в регистратуре: записывают на прием хрен пойми как. Приходится ездить по 20 раз туда-сюда (((', 1363612417], ['Поликлиника не закрыта, информация неверная. Работает с пн по вс.', 1362914547], ['Романова Ирина отличный офтальмолог!', 1362819281], ['Луценко Яна Викторовна, педиатр.  Ради нее заключили годовое обслуживание!', 1361518381], ['Отличный отоларинголог, педиаторы неплохие, а вот невролог не очень:(', 1358337204], ['Хороший врач педиатр Луценко Яна.', 1357661176], ['Филиал хороший, народу мало, но очень раздражает, что в 9 из 10 случаях приходится ждать 20-40 минут, хотя приходишь ко времени своей записи. С ребенком это крайне неудобно.', 1353575388], ['Хороший Лор, аллергллог и педиатры, а вот медсестры в процедурном постоянно меняются.', 1349335165], ['Замечательная врач хирург.', 1349102433], ['Хороший филиал, специалисты все нравятся, а вот в процедурном все время меняется персонал, что неспроста, полагаю.', 1335789772], ['На данный момент самый нормальный филиал. Персонал вежливый и отзывчивый', 1327490304]]";1255;351
6;Научно-исследовательский центр детской нейропсихологии;;[];28;14
7;Научно-исследовательская лечебная клиника остеопатии и хиропрактики;;[];2;2
